127.0.0.1 - - [10/Aug/2018:16:59:05 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:59:05 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 200 2542
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:16:59:07 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 200 65402
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 200 51820
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 200 54600
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:17 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:18 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:18 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:19 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:16:59:19 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/ HTTP/1.1" 200 2542
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 523
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:00:31 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/ HTTP/1.1" 200 2542
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/css/images/cart1.png HTTP/1.1" 404 1063
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 526
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:04:27 +0530] "GET /ShopOn/images/cart1.png HTTP/1.1" 200 52451
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:15 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:15 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:15 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:15 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:15 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:15 +0530] "GET /ShopOn/images/cart1.png HTTP/1.1" 200 52451
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:16 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:16 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:16 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:17:26:17 +0530] "GET /ShopOn/shopon.html HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:31:32 +0530] "GET /ShopOn/ HTTP/1.1" 200 2597
127.0.0.1 - - [10/Aug/2018:17:31:32 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:31:32 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:31:32 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:31:32 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 200 559
127.0.0.1 - - [10/Aug/2018:17:31:32 +0530] "GET /ShopOn/images/cart1.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:33 +0530] "GET /ShopOn/ HTTP/1.1" 200 2633
127.0.0.1 - - [10/Aug/2018:17:33:33 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:33 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:33 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:33 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:33 +0530] "GET /ShopOn/images/cart1.png HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:34 +0530] "GET /ShopOn/ HTTP/1.1" 200 2633
127.0.0.1 - - [10/Aug/2018:17:33:34 +0530] "GET /ShopOn/css/shopon_style.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:34 +0530] "GET /ShopOn/images/Moto/moto-nexus-6.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:34 +0530] "GET /ShopOn/images/Gionee/gionee-F103.jpg HTTP/1.1" 304 -
127.0.0.1 - - [10/Aug/2018:17:33:34 +0530] "GET /ShopOn/images/Apple/apple-iphone-5s-ofic.jpg HTTP/1.1" 304 -
